序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex)
96,0x1812F456,54:19.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2B 00 A0 0F 00 00 FD FF ),8,2B 00 A0 0F 00 00 FD FF 
97,0x181056F4,54:19.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
98,0x181356F4,54:19.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
99,0x1812F456,54:19.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2B 00 A0 0F 00 00 FD FF ),8,2B 00 A0 0F 00 00 FD FF 
100,0x181056F4,54:19.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
101,0x1812F456,54:19.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2B 00 A0 0F 00 00 FD FF ),8,2B 00 A0 0F 00 00 FD FF 
102,0x181056F4,54:19.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
103,0x1812F456,54:19.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2B 00 A0 0F 00 00 FD FF ),8,2B 00 A0 0F 00 00 FD FF 
104,0x181056F4,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
105,0x1CEC56F4,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
106,0x1CECF456,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
107,0x1CEB56F4,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
108,0x1812F456,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
109,0x1CEB56F4,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
110,0x1CECF456,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
111,0x181056F4,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
112,0x1812F456,54:19.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
113,0x181056F4,54:19.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
114,0x181356F4,54:19.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
115,0x1812F456,54:19.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
116,0x181056F4,54:19.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
117,0x1812F456,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
118,0x181056F4,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
119,0x1812F456,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
120,0x181056F4,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
121,0x1CEC56F4,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
122,0x1CECF456,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
123,0x1CEB56F4,54:19.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
124,0x1812F456,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
125,0x1CEB56F4,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
126,0x1CECF456,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
127,0x181056F4,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
128,0x1812F456,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
129,0x181056F4,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
130,0x181356F4,54:19.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
131,0x1812F456,54:19.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
132,0x181056F4,54:19.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
133,0x1812F456,54:19.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
134,0x181056F4,54:19.8,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
135,0x1812F456,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
136,0x181056F4,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
137,0x1CEC56F4,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
138,0x1CECF456,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
139,0x1CEB56F4,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
140,0x1CEB56F4,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
141,0x1CECF456,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
142,0x1812F456,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
143,0x181056F4,54:19.9,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
144,0x1812F456,54:20.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
145,0x181056F4,54:20.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
146,0x181356F4,54:20.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
147,0x1812F456,54:20.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
148,0x181056F4,54:20.0,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
149,0x1812F456,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
150,0x181056F4,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
151,0x1812F456,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
152,0x181056F4,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
153,0x1CEC56F4,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
154,0x1CECF456,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
155,0x1CEB56F4,54:20.1,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
156,0x1CEB56F4,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
157,0x1CECF456,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x13 09 00 02 FF 00 11 00 ),8,13 09 00 02 FF 00 11 00 
158,0x1812F456,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
159,0x181056F4,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
160,0x1812F456,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
161,0x181056F4,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
162,0x181356F4,54:20.2,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
163,0x1812F456,54:20.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
164,0x181056F4,54:20.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
165,0x1812F456,54:20.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
166,0x181056F4,54:20.3,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
167,0x1812F456,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
168,0x181056F4,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
169,0x1CEC56F4,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0x56 ) SA(0xF4 ) PGN(0xEC00 ) Data Field(0x10 09 00 02 FF 00 11 00 ),8,10 09 00 02 FF 00 11 00 
170,0x1CECF456,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xF4 ) SA(0x56 ) PGN(0xEC00 ) Data Field(0x11 02 01 FF FF 00 11 00 ),8,11 02 01 FF FF 00 11 00 
171,0x1CEB56F4,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x01 26 13 A0 0F 73 11 61 ),8,01 26 13 A0 0F 73 11 61 
172,0x1CEB56F4,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xEB ) DA(0x56 ) SA(0xF4 ) PGN(0xEB00 ) Data Field(0x02 00 00 FF FF FF FF FF ),8,02 00 00 FF FF FF FF FF 
173,0x1812F456,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
174,0x181056F4,54:20.4,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
175,0x1812F456,54:20.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
176,0x181056F4,54:20.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
177,0x181356F4,54:20.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
178,0x1812F456,54:20.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
179,0x181056F4,54:20.5,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
180,0x1812F456,54:20.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
181,0x181056F4,54:20.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
182,0x1812F456,54:20.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
183,0x181056F4,54:20.6,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
184,0x1812F456,54:20.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
185,0x181056F4,54:20.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
186,0x1812F456,54:20.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x12 ) DA(0xF4 ) SA(0x56 ) PGN(0x1200 ) Data Field(0x2A 00 A0 0F 00 00 FD FF ),8,2A 00 A0 0F 00 00 FD FF 
187,0x181056F4,54:20.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x10 ) DA(0x56 ) SA(0xF4 ) PGN(0x1000 ) Data Field(0x52 17 82 0F 02 ),5,52 17 82 0F 02 
188,0x181356F4,54:20.7,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0x13 ) DA(0x56 ) SA(0xF4 ) PGN(0x1300 ) Data Field(0x42 4B 01 4A 1B 00 D0 ),7,42 4B 01 4A 1B 00 D0 
